l,C_l_obs,sigma,D_l_obs,D_l_error
1980,1.62838971577041e-28,1.5221198239649223e-29,1.0165486041045363e-22,9.502079062193872e-24
2000,1.7913093627954744e-28,1.521395659714814e-29,1.1409531502621635e-22,9.690348338479556e-24
2020,1.464891653576223e-28,1.520680839213618e-29,9.517947811533031e-23,9.880430972692654e-24
2040,1.3871219342068208e-28,1.5199751381492903e-29,9.191956130183592e-23,1.007232633577176e-23
2060,1.366031804064467e-28,1.519278339922715e-29,9.23051972160874e-23,1.0266033805028298e-23
2080,1.3767766400319474e-28,1.5185902353061525e-29,9.48460034122491e-23,1.0461552764020843e-23
2100,1.4884574726742423e-28,1.5179106221200618e-29,1.0452060370847056e-22,1.0658882602433017e-23
2120,1.5514227152020548e-28,1.517239304927158e-29,1.1102654030256114e-22,1.0858022715955e-23
2140,1.5411298849528856e-28,1.5165760947426093e-29,1.1238020357310805e-22,1.1058972506168358e-23
2160,1.6240726304656465e-28,1.5159208087593883e-29,1.2065188102792416e-22,1.1261731380434165e-23
2180,1.5001635915316101e-28,1.5152732700878434e-29,1.1351961561398045e-22,1.1466298751784274e-23
2200,1.7178703930891287e-28,1.514633307508627e-29,1.3238941095547773e-22,1.1672674038815594e-23
2220,1.4571685439498746e-28,1.514000755238178e-29,1.1434875807276228e-22,1.1880856665587282e-23
2240,1.9084300761893431e-28,1.513375452706008e-29,1.52470652468447e-22,1.209084606152074e-23
2260,1.5909477117522986e-28,1.5127572443431007e-29,1.2938533048015102e-22,1.2302641661302348e-23
2280,1.366222031504803e-28,1.5121459793807616e-29,1.13084100618319e-22,1.2516242904788745e-23
2300,1.3335084385091693e-28,1.511541511659328e-29,1.123208430771237e-22,1.2731649236914698e-23
2320,1.5678227772119917e-28,1.510943699446161e-29,1.3436316537190517e-22,1.2948860107603362e-23
2340,1.460722819195375e-28,1.5103524052623868e-29,1.2735183778584053e-22,1.3167874971678856e-23
2360,1.601824678262269e-28,1.5097674957179157e-29,1.4205060965003826e-22,1.33886932887812e-23
2380,1.5650052269708282e-28,1.509188841354241e-29,1.4114720299527002e-22,1.3611314523283316e-23
2400,1.482159004550441e-28,1.5086163164946188e-29,1.3593094314856802e-22,1.3835738144210237e-23
2420,1.365010511335864e-28,1.5080497991012008e-29,1.272817924832884e-22,1.40619636251603e-23
2440,1.2639184745013462e-28,1.5074891706387516e-29,1.1981102932404463e-22,1.4289990444228356e-23
2460,1.4245656577157457e-28,1.506934315944587e-29,1.3726168406804374e-22,1.4519818083930864e-23
2480,1.6204352261610933e-28,1.506385123104404e-29,1.5868294514486606e-22,1.4751446031132803e-23
